pubchem_cid,SMILES
146512357,COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
155526758,CNC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
155529345,CC(=O)O[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
155536984,CO[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
155553832,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCCOC5=CC=C(C=C5)C#N
155558606,CC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
155562826,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCOC5=CC=C(C=C5)C#N
101043861,CCN(CC)CCCC[C@@H](C(=O)N[C@@H](CO)C(=O)OC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)C(C)(C)C
695484,CC1=CC(=NC2=C1C3=C(S2)C(=NC=N3)N)C
702319,CC1=C(C2=C(N=C1C)SC3=C2N=CN=C3N)C
11448608,CC1=C(C(=NC2=C1C3=C(S2)C(=NC=N3)N)C)CC=C
13331515,CC1=C2CCCCC2=C3C4=C(C(=NC=N4)N)SC3=N1
25190900,CCC1=C(C2=C(N=C1C)SC3=C2N=CN=C3N)C
25190901,CC1=C2CCCCC2=NC3=C1C4=C(S3)C(=NC=N4)N
25190902,CC1=C2CCCC2=C3C4=C(C(=NC=N4)N)SC3=N1
25190903,CC1=C2CCCC2=NC3=C1C4=C(S3)C(=NC=N4)N
25190904,CC1=C(C(=NC2=C1C3=C(S2)C(=NC=N3)N)C)CC4=CC=CC=C4
25190905,C1CC1C2=NC3=C(C(=C2)C(F)(F)F)C4=C(S3)C(=NC=N4)N
25190906,C1=CC=C(C=C1)C2=CC3=C(N=C2)SC4=C3N=CN=C4N
25190907,CCOC(=O)C1=C(N=C2C(=C1)C3=C(S2)C(=NC=N3)N)C
25190908,C1=CC2=C(N=C1)SC3=C2N=CN=C3N
135564531,CC1=C(C=NN1)C2=CC3=C(S2)C(=O)NC(=N3)[C@@H]4CC5CCN4CC5
136333907,CC1=C(C=NN1)C2=CC3=C(S2)C(=O)NC(=N3)CN4CCCC4
136333957,CC1=C(C=NN1)C2=CC3=C(S2)C(=O)NC(=N3)[C@@H]4CCCCN4.Cl.Cl
137648287,C1CCN(C1)CC2=NC3=C(C(=O)N2)SC(=C3)C4=CC=NC=C4
137661818,C1CCN(C1)CC2=NC3=C(C(=O)N2)SC(=C3)C4=CNN=C4
312145,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
3062316,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
9884685,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O
9908783,CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C=NC5=C(N=CN=C54)N
10427712,C1=CC(=CC(=C1)O)C2=NC3=C(N=C(N=C3N=C2C4=CC(=CC=C4)O)N)N
11418892,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=C(C=C3)S(=O)(=O)C)F
11419728,CC1=C(SC(=N1)NC(=O)NCCC(=O)OC(C)(C)C)C2=CC(=C(C=C2)S(=O)(=O)C)F
11677284,CN(C)C1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=CNC5=CC=C4)N6CCOCC6
16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
17755052,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6
25167777,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F
25254071,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)[C@H](C)O
